country,state,county,series_Desc,series_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,filename
United States,TX,Rains County,House Price Index,ATNHPIUS48379A,,,,,,,,,,United_States_TX_Rains_County_House_Price_Index
United States,TX,Randall County,House Price Index,ATNHPIUS48381A,,,,,,,,,,United_States_TX_Randall_County_House_Price_Index
United States,TX,Reagan County,House Price Index,ATNHPIUS48383A,,,,,,,,,,United_States_TX_Reagan_County_House_Price_Index
United States,TX,Real County,House Price Index,ATNHPIUS48385A,,,,,,,,,,United_States_TX_Real_County_House_Price_Index
United States,TX,Red River County,House Price Index,ATNHPIUS48387A,,,,,,,,,,United_States_TX_Red_River_County_House_Price_Index
United States,TX,Reeves County,House Price Index,ATNHPIUS48389A,,,,,,,,,,United_States_TX_Reeves_County_House_Price_Index
United States,TX,Refugio County,House Price Index,ATNHPIUS48391A,,,,,,,,,,United_States_TX_Refugio_County_House_Price_Index
United States,TX,Roberts County,House Price Index,ATNHPIUS48393A,,,,,,,,,,United_States_TX_Roberts_County_House_Price_Index
United States,TX,Robertson County,House Price Index,ATNHPIUS48395A,,,,,,,,,,United_States_TX_Robertson_County_House_Price_Index
United States,TX,Rockwall County,House Price Index,ATNHPIUS48397A,,,,,,,,,,United_States_TX_Rockwall_County_House_Price_Index
United States,TX,Runnels County,House Price Index,ATNHPIUS48399A,,,,,,,,,,United_States_TX_Runnels_County_House_Price_Index
United States,TX,Rusk County,House Price Index,ATNHPIUS48401A,,,,,,,,,,United_States_TX_Rusk_County_House_Price_Index
United States,TX,Sabine County,House Price Index,ATNHPIUS48403A,,,,,,,,,,United_States_TX_Sabine_County_House_Price_Index
United States,TX,San Augustine County,House Price Index,ATNHPIUS48405A,,,,,,,,,,United_States_TX_San_Augustine_County_House_Price_Index
United States,TX,San Jacinto County,House Price Index,ATNHPIUS48407A,,,,,,,,,,United_States_TX_San_Jacinto_County_House_Price_Index
United States,TX,San Patricio County,House Price Index,ATNHPIUS48409A,,,,,,,,,,United_States_TX_San_Patricio_County_House_Price_Index
United States,TX,San Saba County,House Price Index,ATNHPIUS48411A,,,,,,,,,,United_States_TX_San_Saba_County_House_Price_Index
United States,TX,Schleicher County,House Price Index,ATNHPIUS48413A,,,,,,,,,,United_States_TX_Schleicher_County_House_Price_Index
United States,TX,Scurry County,House Price Index,ATNHPIUS48415A,,,,,,,,,,United_States_TX_Scurry_County_House_Price_Index
United States,TX,Shackelford County,House Price Index,ATNHPIUS48417A,,,,,,,,,,United_States_TX_Shackelford_County_House_Price_Index
United States,TX,Shelby County,House Price Index,ATNHPIUS48419A,,,,,,,,,,United_States_TX_Shelby_County_House_Price_Index
United States,TX,Sherman County,House Price Index,ATNHPIUS48421A,,,,,,,,,,United_States_TX_Sherman_County_House_Price_Index
United States,TX,Smith County,House Price Index,ATNHPIUS48423A,,,,,,,,,,United_States_TX_Smith_County_House_Price_Index
United States,TX,Somervell County,House Price Index,ATNHPIUS48425A,,,,,,,,,,United_States_TX_Somervell_County_House_Price_Index
United States,TX,Starr County,House Price Index,ATNHPIUS48427A,,,,,,,,,,United_States_TX_Starr_County_House_Price_Index
United States,TX,Stephens County,House Price Index,ATNHPIUS48429A,,,,,,,,,,United_States_TX_Stephens_County_House_Price_Index
United States,TX,Sterling County,House Price Index,ATNHPIUS48431A,,,,,,,,,,United_States_TX_Sterling_County_House_Price_Index
United States,TX,Stonewall County,House Price Index,ATNHPIUS48433A,,,,,,,,,,United_States_TX_Stonewall_County_House_Price_Index
