country,state,county,series_Desc,series_id,,,,,,,,,
United States,TX,Bosque County,Household Income,MHITX48035A052NCEN,,,,,,,,,
United States,TX,Bowie County,Household Income,MHITX48037A052NCEN,,,,,,,,,
United States,TX,Brazoria County,Household Income,MHITX48039A052NCEN,,,,,,,,,
United States,TX,Brazos County,Household Income,MHITX48041A052NCEN,,,,,,,,,
United States,TX,Brewster County,Household Income,MHITX48043A052NCEN,,,,,,,,,
United States,TX,Briscoe County,Household Income,MHITX48045A052NCEN,,,,,,,,,
United States,TX,Brooks County,Household Income,MHITX48047A052NCEN,,,,,,,,,
United States,TX,Brown County,Household Income,MHITX48049A052NCEN,,,,,,,,,
United States,TX,Burleson County,Household Income,MHITX48051A052NCEN,,,,,,,,,
United States,TX,Burnet County,Household Income,MHITX48053A052NCEN,,,,,,,,,
United States,TX,Caldwell County,Household Income,MHITX48055A052NCEN,,,,,,,,,
United States,TX,Calhoun County,Household Income,MHITX48057A052NCEN,,,,,,,,,
United States,TX,Callahan County,Household Income,MHITX48059A052NCEN,,,,,,,,,
United States,TX,Cameron County,Household Income,MHITX48061A052NCEN,,,,,,,,,
United States,TX,Camp County,Household Income,MHITX48063A052NCEN,,,,,,,,,
United States,TX,Carson County,Household Income,MHITX48065A052NCEN,,,,,,,,,
United States,TX,Cass County,Household Income,MHITX48067A052NCEN,,,,,,,,,
United States,TX,Castro County,Household Income,MHITX48069A052NCEN,,,,,,,,,
United States,TX,Chambers County,Household Income,MHITX48071A052NCEN,,,,,,,,,
United States,TX,Cherokee County,Household Income,MHITX48073A052NCEN,,,,,,,,,
United States,TX,Childress County,Household Income,MHITX48075A052NCEN,,,,,,,,,
United States,TX,Clay County,Household Income,MHITX48077A052NCEN,,,,,,,,,
United States,TX,Cochran County,Household Income,MHITX48079A052NCEN,,,,,,,,,
United States,TX,Coke County,Household Income,MHITX48081A052NCEN,,,,,,,,,
United States,TX,Coleman County,Household Income,MHITX48083A052NCEN,,,,,,,,,
United States,TX,Collin County,Household Income,MHITX48085A052NCEN,,,,,,,,,
United States,TX,Collingsworth County,Household Income,MHITX48087A052NCEN,,,,,,,,,
United States,TX,Colorado County,Household Income,MHITX48089A052NCEN,,,,,,,,,
United States,TX,Comal County,Household Income,MHITX48091A052NCEN,,,,,,,,,
United States,TX,Comanche County,Household Income,MHITX48093A052NCEN,,,,,,,,,
United States,TX,Concho County,Household Income,MHITX48095A052NCEN,,,,,,,,,
United States,TX,Cooke County,Household Income,MHITX48097A052NCEN,,,,,,,,,
United States,TX,Coryell County,Household Income,MHITX48099A052NCEN,,,,,,,,,
United States,TX,Cottle County,Household Income,MHITX48101A052NCEN,,,,,,,,,
United States,TX,Crane County,Household Income,MHITX48103A052NCEN,,,,,,,,,
United States,TX,Crockett County,Household Income,MHITX48105A052NCEN,,,,,,,,,
United States,TX,Crosby County,Household Income,MHITX48107A052NCEN,,,,,,,,,
United States,TX,Culberson County,Household Income,MHITX48109A052NCEN,,,,,,,,,
United States,TX,Dallam County,Household Income,MHITX48111A052NCEN,,,,,,,,,
United States,TX,Dallas County,Household Income,MHITX48113A052NCEN,,,,,,,,,
United States,TX,Dawson County,Household Income,MHITX48115A052NCEN,,,,,,,,,
United States,TX,Deaf Smith County,Household Income,MHITX48117A052NCEN,,,,,,,,,
United States,TX,Delta County,Household Income,MHITX48119A052NCEN,,,,,,,,,
United States,TX,Denton County,Household Income,MHITX48121A052NCEN,,,,,,,,,
United States,TX,De Witt County,Household Income,MHITX48123A052NCEN,,,,,,,,,
United States,TX,Dickens County,Household Income,MHITX48125A052NCEN,,,,,,,,,
United States,TX,Dimmit County,Household Income,MHITX48127A052NCEN,,,,,,,,,
United States,TX,Donley County,Household Income,MHITX48129A052NCEN,,,,,,,,,
United States,TX,Duval County,Household Income,MHITX48131A052NCEN,,,,,,,,,
United States,TX,Eastland County,Household Income,MHITX48133A052NCEN,,,,,,,,,
United States,TX,Ector County,Household Income,MHITX48135A052NCEN,,,,,,,,,
United States,TX,Edwards County,Household Income,MHITX48137A052NCEN,,,,,,,,,
United States,TX,Ellis County,Household Income,MHITX48139A052NCEN,,,,,,,,,
United States,TX,El Paso County,Household Income,MHITX48141A052NCEN,,,,,,,,,
United States,TX,Erath County,Household Income,MHITX48143A052NCEN,,,,,,,,,
United States,TX,Falls County,Household Income,MHITX48145A052NCEN,,,,,,,,,
United States,TX,Fannin County,Household Income,MHITX48147A052NCEN,,,,,,,,,
United States,TX,Fayette County,Household Income,MHITX48149A052NCEN,,,,,,,,,
United States,TX,Fisher County,Household Income,MHITX48151A052NCEN,,,,,,,,,
United States,TX,Floyd County,Household Income,MHITX48153A052NCEN,,,,,,,,,
United States,TX,Foard County,Household Income,MHITX48155A052NCEN,,,,,,,,,
United States,TX,Fort Bend County,Household Income,MHITX48157A052NCEN,,,,,,,,,
United States,TX,Franklin County,Household Income,MHITX48159A052NCEN,,,,,,,,,
United States,TX,Freestone County,Household Income,MHITX48161A052NCEN,,,,,,,,,
United States,TX,Frio County,Household Income,MHITX48163A052NCEN,,,,,,,,,
United States,TX,Gaines County,Household Income,MHITX48165A052NCEN,,,,,,,,,
United States,TX,Galveston County,Household Income,MHITX48167A052NCEN,,,,,,,,,
United States,TX,Garza County,Household Income,MHITX48169A052NCEN,,,,,,,,,
United States,TX,Gillespie County,Household Income,MHITX48171A052NCEN,,,,,,,,,
United States,TX,Glasscock County,Household Income,MHITX48173A052NCEN,,,,,,,,,
United States,TX,Goliad County,Household Income,MHITX48175A052NCEN,,,,,,,,,
United States,TX,Gonzales County,Household Income,MHITX48177A052NCEN,,,,,,,,,
United States,TX,Gray County,Household Income,MHITX48179A052NCEN,,,,,,,,,
United States,TX,Grayson County,Household Income,MHITX48181A052NCEN,,,,,,,,,
United States,TX,Gregg County,Household Income,MHITX48183A052NCEN,,,,,,,,,
United States,TX,Grimes County,Household Income,MHITX48185A052NCEN,,,,,,,,,
United States,TX,Guadalupe County,Household Income,MHITX48187A052NCEN,,,,,,,,,
United States,TX,Hale County,Household Income,MHITX48189A052NCEN,,,,,,,,,
United States,TX,Hall County,Household Income,MHITX48191A052NCEN,,,,,,,,,
United States,TX,Hamilton County,Household Income,MHITX48193A052NCEN,,,,,,,,,
United States,TX,Hansford County,Household Income,MHITX48195A052NCEN,,,,,,,,,
United States,TX,Hardeman County,Household Income,MHITX48197A052NCEN,,,,,,,,,
United States,TX,Hardin County,Household Income,MHITX48199A052NCEN,,,,,,,,,
United States,TX,Harris County,Household Income,MHITX48201A052NCEN,,,,,,,,,
United States,TX,Harrison County,Household Income,MHITX48203A052NCEN,,,,,,,,,
